% Model,verification_1a.mph
% Version,COMSOL 5.2.0.220
% Date,"May 15 2017, 13:25"
% Table,Probe Table 6 - 
% wm ,"mf.Az*2*pi*fs*1[m] (V), EAplus","mf.Az*2*pi*fs*1[m] (V), ECminus","mf.Az*2*pi*fs*1[m] (V), EBplus","mf.Az*2*pi*fs*1[m] (V), EAminus","mf.Az*2*pi*fs*1[m] (V), ECplus","mf.Az*2*pi*fs*1[m] (V), EBminus","mf.normJ^2/sigma_aluminum*1[m] (W), Pcoat","mf.normJ^2/sigma_iron*1[m] (W), Psteel"
0,0.28605529991549666-0.11139307318558461i,0.04655786901053427-0.3034276976110297i,-0.239496689420344-0.1920348147274341i,-0.2860548439749534+0.11139315329781772i,-0.046557877776041284+0.30342764052808735i,0.23949638629008357+0.19203438523204042i,1350.5685438102003,16.342298255189224
25,0.2898108335408603-0.11738593556287238i,0.04324559708236197-0.3096764838742196i,-0.24656440656048206-0.19229066734153816i,-0.2898104170399498+0.11738605099831965i,-0.04324562400811139+0.3096764435379568i,0.24656414037378968+0.19229028055637504i,1328.366095945324,16.56104713490946
50,0.29432365513871633-0.12413231868449681i,0.03965939915381627-0.3169578739404774i,-0.25466334412620695-0.19282558749712608i,-0.2943232774170365+0.12413246786041629i,-0.03965944305108668+0.3169578467204708i,0.25466311223089516+0.19282524119810998i,1304.4706090358477,16.73959775437237
75,0.2998201084345688-0.1317507830926493i,0.0358097717497218-0.3255271692708613i,-0.2640093522062754-0.19377631434430811i,-0.29981976889588446+0.13175096462436486i,-0.03580983120659605+0.3255271513816756i,0.2640091520841245+0.19377600616763238i,1278.2219484410243,16.863974131265618
100,0.30661299227849614-0.1403733285491672i,0.03173880075504441-0.33572126356703913i,-0.27487314760494874-0.19534774002360183i,-0.3066126904764673+0.14037354128608923i,-0.031738874075386676+0.33572125103508427i,0.2748729769189015+0.1953474674885967i,1248.699817144304,16.91561533510997
125,0.31514139168342503-0.15013715231699754i,0.027547214706837807-0.34798901664240384i,-0.287593091933248-0.19785152537876544i,-0.3151411274482398+0.1501373953750986i,-0.027547299822868184+0.34798900526297005i,0.28759294858670476+0.19785128593240744i,1214.6033933416243,16.86945557458041
150,0.3260310298810927-0.16116243475797057i,0.02344379943133195-0.3629324136496098i,-0.30258612953541775-0.2017694738354902i,-0.32603080350782765+0.16116270753786965i,-0.023443893772059066+0.3629323989310844i,0.30258601174337296+0.20176926493447125i,1174.0689519718615,16.691022430775458
175,0.3401851027934539-0.17349939891993504i,0.019836663625781365-0.3813587597642972i,-0.32034735713131335-0.2078586670118372i,-0.34018491532450185+0.173499701086032i,-0.01983676390809549+0.38135873685952143i,0.32034726349642173+0.20785848626892914i,1124.395396592019,16.33206874840133
200,0.3589164749050097-0.18700847173395632i,0.017503121229222474-0.40433524545241106i,-0.34141233840938756-0.2173258698708861i,-0.35891632855476446+0.18700880309895154i,-0.017503223109715867+0.4043352090910056i,0.3414122679781016+0.21732571530859882i,1061.644864051959,15.72420747668704
225,0.3841211409104191-0.20109658118731158i,0.01790479716850238-0.4332073162772103i,-0.3662154613633468-0.23210960565932254i,-0.3841210396941127+0.201096941376165i,-0.017904894645462043+0.43320726075881133i,0.36621541359319254+0.23210947613382102i,980.1186956051789,14.770552975073608
250,0.41843475611626546-0.2141545217705703i,0.02375315063291065-0.46945291228812674i,-0.3946809467148839-0.25529703470561316i,-0.41843470672129474+0.21415490938521436i,-0.023753235026328513+0.4694528317306832i,0.39468092118099357+0.25529693056980224i,871.8844392132253,13.338208336630942
275,0.46510090494068446-0.22243314811037948i,0.039916856288154244-0.5140064755028156i,-0.42518373405443843-0.2915717779513404i,-0.4651009176846415+0.22243355882330024i,-0.03991691463833578+0.5140063648818411i,0.4251837295064638+0.2915717019384505i,727.1728387767519,11.264847690315014
300,0.5266638202638119-0.21816877786254116i,0.07439160992107581-0.5651894993247072i,-0.4522723843638972-0.34701907969910883i,-0.5266639092292985+0.21816920050981392i,-0.07439162313652103+0.5651893575176878i,0.45227239640030675+0.34701903755422003i,538.3228581727939,8.42273046338902
325,0.6004930986071451-0.18804170360338035i,0.1373974316172093-0.6140640547830597i,-0.4630964536004797-0.4260208356413598i,-0.600493278097647+0.18804211382676647i,-0.13739737482320696+0.614063891242226i,0.46309647023990796+0.4260208345484685i,313.2884137422516,4.937471745022066
350,0.6701545693106851-0.11756916445697063i,0.2332596151827514-0.6391562377191133i,-0.4368963377298959-0.521586031990078i,-0.6701548416217735+0.11756951923793636i,-0.2332594667922048+0.6391560800685949i,0.43689633511391646+0.5215860717875513i,101.68231335057249,1.6097173590093647
375,0.703481184437491-0.009376824640041134i,0.34362056611571284-0.6139213524848166i,-0.35986230130566205-0.6045442946276716i,-0.7034815121545558+0.009377070591878811i,-0.34362031959789485+0.6139212401472863i,0.35986225890212736+0.6045443508629795i,0.5982508719500893,0.009486450560439556
400,0.6788015977712949+0.10233453805698924i,0.42802568581359735-0.5366919959692258i,-0.25077740373573626-0.6390271375873968i,-0.6788019109598415-0.10233439808711255i,-0.4280253662412781+0.5366919870908646i,0.25077732005275527+0.639027195077525i,75.4472959774814,1.19493584597386
425,0.6125627960787426+0.17978639246076286i,0.4619813363410208-0.44060118027047285i,-0.15058242169987598-0.6203887233646898i,-0.612563060979896-0.1797863307897447i,-0.4619810107405624+0.44060128254526904i,0.1505822908977369+0.6203887536772218i,276.5871197073497,4.362982367980523
450,0.5378130820461435+0.21551808120281948i,0.45555071618364396-0.35799997788143245i,-0.08226273687934385-0.5735194059022909i,-0.5378132821440598-0.21551806532590295i,-0.45555042237206816+0.3580001631027833i,0.08226257643737077+0.5735193880429417i,504.2649602944671,7.90042252598033
475,0.47388039069133286+0.2228708884718563i,0.4299517930647119-0.2989561855420084i,-0.0439284820451803-0.5218283798374392i,-0.4738805272240316-0.2228708919427434i,-0.4299515443941894+0.2989564234931292i,0.043928309207338354+0.5218283085686509i,700.1347393137098,10.865125482665102
500,0.4249544749823489+0.21593551345695225i,0.39948238390197616-0.260052825025164i,-0.025471629260393532-0.47598948815944164i,-0.42495455543700067-0.2159355207887424i,-0.39948218104449507+0.2600530925746308i,0.0254714548514317+0.475989364605746i,851.5366962964182,13.055197106654008
525,0.38889795649531483+0.2033099233644841i,0.37051985951011923-0.23513984620442901i,-0.018377410238473155-0.4384507232524012i,-0.38889798809280457-0.20330992667295128i,-0.37051969845242183+0.23514012740318432i,0.018377239898241925+0.43845054963913754i,964.9043722813688,14.578421697841263
550,0.36243894877762795+0.18923990830731158i,0.34510523038929103-0.2192607927863353i,-0.01733289869015844-0.40850145668526716i,-0.36243893673441346-0.18923990374203115i,-0.3451051060667397+0.21926107668401587i,0.01733273495545022+0.40850123447334613i,1050.0928120982549,15.598450732294445
575,0.342821093424786+0.17558142054809728i,0.32346760971720834-0.20910059896379465i,-0.01935259782929152-0.3846825917891033i,-0.3428210410349746-0.17558140614176512i,-0.3234675172853155+0.20910087773402028i,0.019352441603892705+0.38468232128729507i,1115.3990410483163,16.254044748588854
600,0.32803864909069375+0.16304085023642131i,0.30521587066322614-0.20256903956527242i,-0.02282187426226427-0.3656103001731786i,-0.328038558218569-0.16304082481429605i,-0.30521580582495317+0.20256930730102407i,0.022821725683370427+0.36560998063836736i,1166.853128680654,16.6474405433242
625,0.31669826759024045+0.1518069897529723i,0.28981683189321145-0.19836503962350055i,-0.02688054751605204-0.3501723010914486i,-0.3166981391310674-0.1518069524230658i,-0.28981679091116996+0.19836529161932812i,0.026880406436949195+0.3501719309433051i,1208.6359435521929,16.8509670182003
650,0.30784153786067436+0.14184931104185167i,0.2767648450086863-0.1956738527661244i,-0.031075845117598377-0.3375233197722184i,-0.30784137208169166-0.14184926097156736i,-0.2767648246327236+0.1956740850906749i,0.031075711370761015+0.3375228968034672i,1243.6152504567601,16.91559569421613
675,0.30080556955856214+0.133054073902341i,0.26562995923735455-0.19397826813575883i,-0.035174820357604594-0.32703240385247573i,-0.3008053663317175-0.1330540102296547i,-0.265629956621337+0.19397847736889862i,0.03517469389477999+0.327031925404781i,1273.766912743577,16.877654904795772
700,0.2951262450018956+0.12528477460768755i,0.25606189716265404-0.1929445993852867i,-0.03906362770538135-0.31822936156708337i,-0.2951260039576372-0.125284696413181i,-0.2560619097899707+0.19294478244929508i,0.0390635086683908+0.3182288246704462i,1300.4672230631575,16.763483049451633
725,0.29047374799755205+0.11840779478381414i,0.24778003151252928-0.1923540263339314i,-0.042693074309485705-0.31076175255755223i,-0.2904734686251636-0.11840770108881925i,-0.24778005713305581+0.19235418038054758i,0.04269296306160788+0.3107611540385344i,1324.6877275825057,16.59252807006129
750,0.2866100131359705+0.11230219369637785i,0.2405605900300395-0.19206084869845125i,-0.04604886405837999-0.30436293402261605i,-0.2866096948487955-0.11230208347116953i,-0.24056062660707458+0.19206097103089054i,0.0460487611931517+0.30436227058772i,1347.1238087789732,16.379397121248193
775,0.28336053288784246+0.10686240695158035i,0.23422489606099858-0.19196672089124037i,-0.0491351638395754-0.2988289942812233i,-0.2833601750656944-0.10686227912642456i,-0.23422494172620495+0.19196680890931644i,0.04913507017672023+0.2988282625809559i,1368.2798635675092,16.135222974820426
800,0.2805954869526255+0.1019979086209452i,0.228629640543969-0.19200447844274157i,-0.05196546072189037-0.2940022413497852i,-0.28059508896940716-0.10199776209695526i,-0.22862969355874344+0.1920045296040218i,0.05196537729606377+0.29400143802785106i,1388.5262880382,15.868589773183858
825,0.2782169460478151+0.09763170668815163i,0.22365918086712716-0.19212780840021743i,-0.05455746676021188-0.28975936880011577i,-0.27821650728955055-0.097631540346846i,-0.2236592395892537+0.1921278201927101i,0.054557394805942065+0.2897584905311342i,1408.1380846509132,15.586173332486556
850,0.2761500714960613+0.09369851813392317i,0.21921956019558078-0.19230454038081596i,-0.05693029916052431-0.28600292190004073i,-0.27614959137269285-0.09369833084522006i,-0.21921962305038034+0.19230451030416568i,0.056930240095373286+0.28600196541840933i,1427.3213781607114,15.293194284481732
875,0.2743369756697363+0.09014298931417765i,0.21523389646175348-0.19251221935536544i,-0.059102951662290584-0.2826550907725133i,-0.274336453622847-0.09014277994294807i,-0.21523396191711602+0.1925121449084412i,0.05910290706943937+0.2826540528943894i,1446.2318804094907,14.993746398914714
900,0.27273237828697744+0.08691810271440092i,0.21163883069473716-0.19273514050209936i,-0.06109350244986802-0.2796531519977139i,-0.27273181379484357-0.08691787012581069i,-0.21163889723957754+0.1927350191754041i,0.0610934740608562+0.2796520296376186i,1464.9879239130714,14.691039945819549
925,0.2713004915127349+0.08398380836134994i,0.2083817843161154-0.1929623359116844i,-0.06291874191469228-0.27694608672201865i,-0.27129988409360994-0.08398355142525597i,-0.20838185044186222+0.1929621651834294i,0.06291873159272308+0.2769448769052094i,1483.679782935408,14.387585898247723
950,0.27001275734846564+0.0813058734076315i,0.20541883152727203-0.19318619031211748i,-0.06459403762389909-0.27449204595880133i,-0.2700121065626775-0.08130559100226152i,-0.2054188957120572+0.19318596764706827i,0.0645940473479381+0.27449074583032i,1502.3764238455656,14.08533794030374
975,0.26884618398286325+0.07885492610089367i,0.20271303952235142-0.19340147831877819i,-0.0661333304314819-0.27225643179871517i,-0.26884548943409625-0.0788546171160131i,-0.20271310021759767+0.19340120116918286i,0.0661333622812715+0.272255038629777i,1521.1304531174158,13.785803646160671
1000,0.2677821084075575+0.07660566574101169i,0.20023316558607956-0.19360468784826382i,-0.06754919997515735-0.2702104307718156i,-0.2677813697435596-0.07660532908072581i,-0.20023322120522513+0.1936043536563303i,0.06754925611718147+0.27020894196409007i,1539.9817866051978,13.49013260864593
1025,0.2668052660530138+0.07453621118233776i,0.19795262768734728-0.19379354014807i,-0.068852963702067-0.26832988237093575i,-0.26680448296586584-0.07453584576764243i,-0.19795267659646992+0.19379314634957986i,0.06885304637647097+0.26832829545913306i,1558.9604013111684,13.199186966896603
1050,0.26590308408634217+0.07262756354092406i,0.19584868580994313-0.19396664642146602i,-0.0700547888227374-0.26659439837573873i,-0.2659022563123818-0.07262716831208971i,-0.19584872632006392+0.1939661904501968i,0.07005490033116923+0.2665927110288385i,1578.0884217173568,12.91359824570632
1075,0.26506513940841325+0.07086316242794312i,0.19390178663050306-0.19412326032361546i,-0.07116380561990576-0.2649866715747879i,-0.26506426672787076-0.07086273634678218i,-0.19390181699138043+0.19412273961631496i,0.07116394831424089+0.26498488159616956i,1597.3817185184896,12.63381338559653
1100,0.2642827391730133+0.06922851855027247i,0.1920950355946531-0.19426309838166173i,-0.07218821588339301-0.2634919287794052i,-0.26428182140939127-0.06922806060232312i,-0.19209505398989965+0.19426251038338774i,0.07218839215528662+0.2634900341060908i,1616.8511465181425,12.360132132249408
1125,0.2635485933343217+0.06771090862755788i,0.19041376897605067-0.19438620895569092i,-0.07313539339216282-0.2620974946955091i,-0.2635476303535357-0.0677104178241988i,-0.19041377351941152+0.19438555112534633i,0.07313560566338148+0.26209549339668703i,1636.5035129258542,12.092737453818138
1150,0.26285655695193144+0.0662991212039622i,0.18884520489119372-0.19449287616425673i,-0.07401197519954614-0.2607924416553463i,-0.26285554866122884-0.0662985965844643i,-0.18884519362385452+0.19449214598021272i,0.07401222591302421+0.2607903319303044i,1656.342342330581,11.831720293543585
1175,0.2622014258313172+0.0649832441033052i,0.1873781570469608-0.19458354917811982i,-0.07482394352229006-0.25956730636140807i,-0.2622003721779829-0.06498268473681262i,-0.18737812793576722+0.19458274414382798i,0.07482423513385807+0.259565086536992i,1676.3684869161757,11.57709969773304
1200,0.2615787732795994+0.06375448604364592i,0.1860027986293856-0.19465879004113118i,-0.07557669860453686-0.25841385931749816i,-0.261577674249457-0.06375389103107784i,-0.18600274956586518+0.1946579076906538i,0.07557703357527867+0.25841152784517457i,1696.5806178067226,11.328839156388886
