% Model,verification_1a.mph
% Version,COMSOL 5.2.0.220
% Date,"May 17 2017, 10:03"
% Table,Probe Table 6 - 
% wm ,"mf.Az*2*pi*fs*1[m]*1i (V), EAplus","mf.Az*2*pi*fs*1[m]*1i (V), ECminus","mf.Az*2*pi*fs*1[m]*1i (V), EBplus","mf.Az*2*pi*fs*1[m]*1i (V), EAminus","mf.Az*2*pi*fs*1[m]*1i (V), ECplus","mf.Az*2*pi*fs*1[m]*1i (V), EBminus","mf.normJ^2/sigma_aluminum*1[m] (W), Pcoat","mf.normJ^2/sigma_iron*1[m] (W), Psteel",mf.Tax_1*2 (N*m)
0,0.11139377252584931+0.28605561089277837i,0.30342825755395547+0.0465579545939509i,0.19203465752299653-0.23949760013708482i,-0.11139375036518563-0.28605563984233073i,-0.3034282368230386-0.04655788820916909i,-0.19203477121568013+0.23949753562853776i,1350.5739349547302,16.34398555200732,3.591840077155551
25,0.1173867163205511+0.28981127608025575i,0.3096772347310462+0.04324572757598708i,0.19229066914857884-0.2465654725180694i,-0.11738669062705206-0.28981130067569083i,-0.3096772136848765-0.043245659719759424i,-0.19229077819549517+0.24656540675577415i,1328.371818632194,16.562594282040834,3.7888587140608494
50,0.12413318221312629+0.29432422537621195i,0.3169588028268247+0.03965957189452121i,0.19282574509646766-0.25466455861546766i,-0.12413315328712951-0.29432424544098407i,-0.3169587816805826-0.039659502539431186i,-0.1928258494808527+0.2546644918021485i,1304.476542107042,16.74101466492943,4.010457251466863
75,0.13175173249145367+0.2998208033693049i,0.32552826377812494+0.0358099820145374i,0.19377662443416807-0.26401070933847076i,-0.13175170062868616-0.29982081873363453i,-0.32552824274911707-0.03580991117836769i,-0.19377672416019756+0.26401064167161536i,1278.2279883657675,16.865270971928812,4.260493300059485
100,0.14037436910353848+0.30661381032262314i,0.33572251229679717+0.0317390412725782i,0.19534819931528155-0.2748746426754077i,-0.14037433458863646-0.30661382081404964i,-0.3357224915953833-0.031738969025277966i,-0.19534829441009818+0.27487457434101825i,1248.7058777956195,16.916802161545185,4.5432619235874965
125,0.15013829207348514+0.3151423335381146i,0.34799041007994364+0.027547475041767685i,0.19785213080496702-0.2875947219971365i,-0.15013825517325396-0.31514233896488986i,-0.3479903898968403-0.02754740151329316i,-0.19785222131965668+0.2875946531609202i,1214.6094055349774,16.870541848595906,4.8632276263081495
150,0.16116368524828784+0.3260320999790469i,0.36293394562087655+0.023444065248301456i,0.20177022301119638-0.3025878943158615i,-0.16116364620679366-0.32603210010187167i,-0.3629339261085433-0.023443990637369284i,-0.20177030901941756+0.30258782511112553i,1174.0748623477105,16.692016386126863,5.224301741407751
175,0.17350077598001562+0.3401863117488894i,0.38136042991437197+0.019836915931571466i,0.20785955925076494-0.32034926043014694i,-0.17350073502095395-0.34018630623374174i,-0.38136041115813557-0.01983684051426133i,-0.207859640842697+0.32034919094192366i,1124.4011649429956,16.332976551789635,5.628120078535858
200,0.18700999612819413+0.3589178437814222i,0.4043370635234352+0.01750333597751655i,0.21732690841972757-0.34141439020949216i,-0.18700995347773397-0.35891783212272665i,-0.4043370454949339-0.017503260111252215i,-0.21732698568728+0.341414320455641i,1061.6504571822556,15.725032098867581,6.070143742098033
225,0.20109827801889898+0.3841227087411671i,0.43320930948133385+0.017904946434283982i,0.2321108025930577-0.3662176806127614i,-0.20109823397986362-0.38412269014172407i,-0.4332092919634615-0.017904870542860434i,-0.23211087560031135+0.3662176105269383i,980.1240737405102,14.771292655777572,6.53107840151034
250,0.21415641554804096+0.418436592864267i,0.4694551374703544+0.023753208792559315i,0.2552984214898204-0.39468336365467166i,-0.21415637069591215-0.41843656606449925i,-0.4694551199463273-0.023753133293164738i,-0.2552984902240303+0.39468329308824557i,871.8895273020152,13.338854571162551,6.958565035233637
275,0.22243524480068466+0.46510313140854176i,0.5140090360969782+0.039916820006409746i,0.29157342690617805-0.42518638656239893i,-0.22243520045602735-0.46510309450512016i,-0.5140090176383336-0.0399167450879857i,-0.2915734912293859+0.4251863153496062i,727.1774715798458,11.265383095869943,7.230604982721964
300,0.2181710140973717+0.5266666267910829i,0.5651925553131927+0.07439154974557238i,0.3470211397425662-0.4522752895437701i,-0.21817097338311783-0.5266665772853735i,-0.5651925346988248-0.07439147485520067i,-0.3470211994933741+0.45227521770122564i,538.326701233042,8.42312870211732,7.094537234221346
325,0.18804383939073746+0.6004967137995485i,0.6140677734528658+0.13739758757141146i,0.42602355546453713-0.46309951300745716i,-0.18804380936360016-0.6004966498567381i,-0.6140677504270996-0.1373975108016494i,-0.4260236113643948+0.4630994408661223i,313.29095441907384,4.937706814617032,6.116814223883593
350,0.11757068212263352+0.6701590582543712i,0.6391605850457596+0.23326044715489133i,0.5215896430809243-0.4368991721184813i,-0.11757067673202286-0.6701589854696169i,-0.6391605644472043-0.23326036838720934i,-0.5215896997832283+0.43689909696106183i,101.68323385300361,1.609794994334121,3.825860747093803
375,0.009377154354137461+0.7034860944586102i,0.6139258367235346+0.3436224650191987i,0.6045486416106105-0.3598642962399326i,-0.009377172199079013-0.7034860473259539i,-0.6139258123160006-0.3436224052471463i,-0.6045486901159474+0.3598641941997529i,0.5982565606141145,0.00948691205513595,0.30676963015315173
400,-0.10233539685948653+0.6788061235130876i,0.5366959448190727+0.4280285113667513i,0.639031554405967-0.2507782300728185i,0.10233539622282799-0.6788060817100444i,-0.5366958825329466-0.42802843516839145i,-0.6390315558525009+0.250778136309156i,75.44798763970336,1.1949938500236197,-3.327375151558092
425,-0.179787899529831+0.6125664696315579i,0.4406043007532994+0.4619845371601158i,0.6203925702209763-0.1505823905203785i,0.17978789131584275-0.6125664223073793i,-0.44060423962468376-0.4619844272284615i,-0.6203925598891302+0.15058232535597715i,276.5894055493607,4.36319246760561,-5.846539316899876
450,-0.21551970379038723+0.5378159451586211i,0.3580024187815614+0.4555538675170322i,0.5735225438517672-0.08226235973941179i,0.21551968704347083-0.5378159028401439i,-0.35800237214684116-0.45555373749723327i,-0.5735225340384632+0.08226231352026409i,504.2686273215362,7.900801671442388,-7.007570598609016
475,-0.22287237138029772+0.4738826758537089i,0.2989581783113192+0.4299547470313457i,0.5218309524097249-0.04392806561294217i,0.222872350635277-0.4738826411998431i,-0.2989581482084743-0.4299546063645943i,-0.5218309459493287+0.043928031999911216i,700.139264100511,10.865651026034563,-7.244707246623454
